m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Іван,Кравченко,ivan.kravchenko@student.org,1970,8,13,NXE-49,94.23,38(050)76-70-965
Дмитро,Гладко,dmytro.hladko@student.org,1995,8,9,LTJ-55,27.34,38(063)74-58-940
Остап,Король,ostap.korol@student.org,1985,1,14,WWU-13,4.91,38(096)10-61-977
Любов,Марченко,lyubov.marchenko@student.org,1986,7,2,VET-47,40.85,38(066)19-82-831
Павло,Гайдук,pavlo.hayduk@student.org,1975,4,9,DHS-92,8.53,38(068)12-34-790
Віталій,Новік,vitaliy.novik@student.org,1977,12,4,EJE-20,1.29,38(098)76-16-556
Юлія,Рибак,yuliya.rybak@student.org,2005,10,19,UFI-24,96.8,38(068)96-90-907
Костянтин,Поліщук,kostyantyn.polishchuk@student.org,1977,8,21,WMT-69,82.48,38(063)91-64-891
Юлія,Дорошенко,yuliya.doroshenko@student.org,1963,4,9,TDY-78,88.48,38(073)51-85-527
Андрій,Ковальчук,andriy.kovalchuk@student.org,1958,10,8,XBO-96,58.01,38(067)59-10-760
Юлія,Демченко,yuliya.demchenko@student.org,1980,10,22,CJW-21,3.9,38(099)67-49-709
Ярослав,Король,yaroslav.korol@student.org,1955,10,18,IBG-59,65.64,38(073)72-68-530
Денис,Шевчук,denys.shevchuk@student.org,2002,5,15,GNN-28,16.71,38(066)62-33-620
Галина,Бойко,halyna.boyko@student.org,1979,6,12,DYS-79,65.9,38(098)77-66-918
